time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-19T00:33:22.263Z,36.0485,139.8891,60.512,4.5,mb,57,126,1.444,0.57,us,us7000md1g,2024-06-25T21:03:04.040Z,"0 km W of Iwai, Japan",earthquake,7.33,6.808,0.084,42,reviewed,us,us
2024-04-17T10:16:21.064Z,35.2724,136.8137,305.492,4.1,mb,67,77,0.552,0.75,us,us7000mcmg,2024-06-25T21:02:54.040Z,"3 km SSE of Ichinomiya, Japan",earthquake,8.7,6.368,0.075,49,reviewed,us,us
2024-04-12T17:07:48.703Z,34.0057,141.7855,24.432,4.7,mb,186,50,1.777,0.48,us,us7000mbqy,2024-06-17T02:15:16.040Z,"184 km SE of Katsuura, Japan",earthquake,7.32,3.977,0.045,160,reviewed,us,us
2024-04-04T02:15:51.832Z,35.642,139.6727,100.465,4.4,mb,55,125,1.487,1.01,us,us7000m9sk,2024-06-12T21:51:53.040Z,"3 km SSW of Motoyoyogichō, Japan",earthquake,6.81,6.805,0.096,31,reviewed,us,us
2024-03-27T04:15:27.047Z,33.0468,140.0147,140.465,4.4,mb,102,62,0.182,0.61,us,us7000m87m,2024-06-01T21:55:47.040Z,"206 km SSE of Shimoda, Japan",earthquake,8.1,3.286,0.056,92,reviewed,us,us
2024-03-26T21:06:06.305Z,35.4802,140.4308,43.993,4.3,mwr,92,124,2.09,0.98,us,us7000m85k,2024-06-01T21:55:47.040Z,"9 km SE of Tōgane, Japan",earthquake,7.07,7.034,0.093,11,reviewed,us,us
2024-03-22T23:31:49.930Z,35.4598,136.7704,35.982,4.6,mb,64,58,0.238,0.6,us,us6000mkmf,2024-05-27T14:19:22.040Z,"1 km S of Yamagata, Japan",earthquake,5.89,5.503,0.074,54,reviewed,us,us
2024-03-21T00:08:02.844Z,35.9739,139.748,45.002,5.2,mww,268,51,1.367,0.6,us,us6000mk4v,2024-05-27T14:19:20.040Z,"1 km S of Kasukabe, Japan",earthquake,5.08,4.172,0.068,21,reviewed,us,us
2024-03-18T09:49:27.634Z,35.6069,140.1978,65.803,4.4,mb,27,134,1.862,0.3,us,us6000mkhm,2024-05-27T14:19:21.040Z,"5 km SSE of Yotsukaidō, Japan",earthquake,7.15,8.029,0.22,9,reviewed,us,us
2024-03-17T18:50:20.347Z,35.6189,140.2638,51.807,4.2,mwr,69,116,1.902,0.63,us,us6000mjh3,2024-05-18T21:23:39.040Z,"5 km SW of Yachimata, Japan",earthquake,2.12,6.727,0.086,13,reviewed,us,us
2024-03-14T04:51:31.865Z,33.2247,137.6646,336.856,4.4,mb,133,88,1.78,0.6,us,us6000mis1,2024-05-18T21:22:48.040Z,"145 km SSE of Shima, Japan",earthquake,9.27,2.694,0.05,115,reviewed,us,us
2024-03-08T19:26:42.718Z,35.309,140.3261,34.399,4.4,mwr,103,115,2.113,0.78,us,us7000m494,2024-05-15T17:35:02.040Z,"7 km ENE of Ōtaki, Japan",earthquake,6.55,4.558,0.078,16,reviewed,us,us
